"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"bottoms","Women's Universal High Waist Skort","Smallwood's","70","$","0","Bblu","#e2e8f0","#0b1f3a","","WOMEN'S UNIVERSAL HIGH WAIST SKORT","woman","interior|chief-stew","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/w/o/womenssizechart061924_3_11_2.jpg","{""Bblu"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/w/o/womenssizechart061924_3_11_2.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/women-s-universal-high-waist-skort.html","true"
"shirts","Women's Cap Sleeve V-Neck Epaulet Blouse","Smallwood's","72","$","0","Black|White","#ffffff","#0b1f3a","","The Womens Cap Sleeve V neck epaulet blouse takes our original cap sleeve blouse and revolutionizes it with the carefree elegant fabric we call Z.","woman","interior|chief-stew","","1","XS–XL","shirt","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/g/1/g110zeblack1_2_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/g/1/g110zeblack1_2_1.jpg"",""White"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/g/1/g110zewhite1_1_1_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-cap-sleeve-epaulet-blouse.html","true"
"shirts","Women's Cap Sleeve V-neck Blouse","Smallwood's","62","$","0","Black|White","#ffffff","#0b1f3a","","The Womens Cap Sleeve V neck blouse takes our original cap sleeve blouse and revolutionizes it with the carefree elegant fabric we call Z.","woman","interior|chief-stew","","1","XS–XL","shirt","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/4/_4182_alt_2_b.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/4/_4182_alt_2_b.jpg"",""White"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/4/_4215_alt_4.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-cap-sleeve-v-neck-blouse-z.html","true"
"tops","Women's Elements Boardshort","Smallwood's","65","$","0","Black|Navy","#111827","#0b1f3a","","The Women's Elements boardshorts are made of the latest technical stretch material. Reinforced waistband, and SPF 50 offer functionality and comfort. ","woman","interior|chief-stew","","1","0–16","polo","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5633_2_1_1.jpeg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5633_2_1_1.jpeg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5633_1_9_1.jpeg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-elements-boardshort.html","true"
"bottoms","Women's Horizon Long Skort","Smallwood's","70","$","0","Black|Navy|Stone|Grey","#111827","#0b1f3a","","The women Horizon-L Skort takes one of our best-selling items. 15 ¼"" in length, made from technical, lightweight and two-way stretch material. ","woman","interior|chief-stew","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hlblack1_1_1_1_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hlblack1_1_1_1_1.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hlnavy1_1_1_1_1.jpg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hlstone1_1_1_1_1.jpg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hlgrey1_1_1_1_1_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-horizon-l-skorts.html","true"
"bottoms","Women's Horizon Pants","Smallwood's","88","$","0","Black|Navy|Stone|Grey","#111827","#0b1f3a","","The Women Horizon Pants are a great option when it's a bit cooler. Made from technical, lightweight and two-way material.","woman","deck","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5757_1_1.jpeg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5757_1_1.jpeg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5757_2_1.jpeg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5757_3_1_1.jpg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5757_4_1_7.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-horizon-pant.html","true"
"bottoms","Women's Horizon Skort","Smallwood's","70","$","0","Black|Navy|Stone|White|Grey","#ffffff","#0b1f3a","","Our best-selling items of all time.  13 ½"" in length, made from technical, lightweight and two-way stretch material. Won't wrinkle even after washing.","woman","interior|chief-stew","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hblack1_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hblack1_1.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hcropnavy1_1_1.jpg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hcropstone2_1.jpg"",""White"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/i/m/image_2119hwhite1_20_2.jpg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/1/2119hcropgrey1_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-horizon-skorts.html","true"
"bottoms","Womens Pacific High-Waist Skort","Smallwood's","70","$","0","Black|Charcoal|Navy|Stone|Grey","#111827","#0b1f3a","","The Pacific High-Waist Skort has functional side pockets that blend with the design and an internal cell phone pocket on the shorts.","woman","interior|chief-stew","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a7284final_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a7284final_1.jpg"",""Charcoal"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a7284_charcoal_1200x1200_1.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a7132final_1_1.jpg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/s/t/stone2_1.jpg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/g/r/grey2_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-pacific-high-waist-skort.html","true"
"accessories","Women's Pencil Skirt","Smallwood's","57.5","$","0","Black","#111827","#0b1f3a","","This staple skirt features stylish front seams, a wide waistband with belt loops, and a discreet right-side pocket at the waist. ","woman","deck","","1","0–16","cap","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/p/s/ps200fullfront_2_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/p/s/ps200fullfront_2_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-pencil-skirt.html","true"
"bottoms","Women's Pacific Short","Smallwood's","70","$","0","Black|Charcoal|Navy","#111827","#0b1f3a","","The Women Performance Pacific Shorts are made of technical stretch, soft and comfortable material. SPF 50 and Advanced moisture wicking property.","woman","interior|chief-stew","","1","0–16","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/0/2018_1_black_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/0/2018_1_black_1.jpg"",""Charcoal"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a6631_1200_1.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/0/2018_2_navy_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-performance-pacific-short.html","true"
"accessories","Women's Universal Stretch Skort with Belt Loops","Smallwood's","70","$","0","Charcoal|Grey","#374151","#0b1f3a","","The Women Universal Skort features belt loops and is the performance option for those who require the latest technical fabric for demanding active programs","woman","deck","","1","0–16","cap","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5208_1_1_1_1.jpeg","{""Charcoal"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5208_1_1_1_1.jpeg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a5208_2_1_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/womens-universal-skort.html","true"
